Be A Pro-Active and Agile Institution,Become flexible and scalable
Be A Pro-Active and Agile Institution,Make VA a place where people want to serve
Be A Pro-Active and Agile Institution,Be forward-leaning and reward innovation 
Be a Trusted Partner,Diversify the way we connect with our clients
Be a Trusted Partner,"Know and understand our clients, and our business"
Be a Trusted Partner,"Do what we do best, and partner for the rest"
Be Recognized for Providing a Quality Experience,Empower independence through support
Be Recognized for Providing a Quality Experience,Integrate with DoD to engage Veterans while they are still in service
Be Recognized for Providing a Quality Experience,Organize and run our business to deliver seamless and integrated support
